label,Post_Preprocessed_Comments
negative,maju beban rakyat repot bayar pajak semua mau jabat jokowi cari maju ngukur mampu negara kayak indonesia memang punya nenek moyang punya negara indonesia fir aun
negative,usut tuntas stop kerja sama china
negative,mati tetlebih tikus kantor mafia anggar baru proyek ingat kalimat prabowo korupsi indonesia kangker stadium 4
negative,iya kalo jabat nya jujur korupsi jamin aman2 aja lah 80 jabat nya koruptor semua coba pikir kan kalo bodoh jgn pakek
neutral,hutang tetap dimbayar bunga tinggi mbayar2 cepat cepat lunas usut yg korup yg hubung kerja whosh mbayar cepat apa alas nya mbayar mbayar mbayar
neutral,jangan apbn kena imbas
neutral,yg ribut jg periksa dong mau gmn jgn ributtt mulu kerja kagak
negative,negara bobrok sarang koruptor yg biar siapa yg mimpin kalo tdk tindak bwt korup gak bakal sejahtera jadi jangan tunjuk sana sini harusny tengok punggung sendiri sendiri
neutral,iya cuma 100 t bikin malu negara korupsi
negative,dasar anggota dpr mudah bener lu bilang untung rugi biasa klu loe yy tggung utang y silah masyarakat yg byar utang lewat pajak nyesek gua kalau swasta yg kelola dr awal pasti untung klu bumn era dulu smpai kini pasti rugi akibat bnyak mark up dana harap kini depan pak presiden n pak pur istiqomah mnjga aset negara n beri hukum berat koruptor
negative,macam freeport salah pimpin dahulu
negative,yg ngutang siapa yg ribut bayar hutang siapa
neutral,prabowo minta utang whoosh beres pakai apbn
negative,jabat bisnis nya hebat hebat biar tekor asal sohor padahal pakar ekonomi wk wk wk wk
neutral,116 t mah kecil benar indonesia sekarang dipikir2 perintah kmrn korupsi lebih 900 t kalau kejar langsung lunas
negative,tanggung jawab jokowi
neutral,cleaning nih perintah buang org2 ga kompeten
negative,prabowo suruh aja untk beres luhut jokowi tri purbaya jalur benar tdk mau pake uang rakyat usut duga korupsi woosh
neutral,selesai kena bayar utang whoose lepas bumn kerjasamanya dlm perkreta api kai mungkin laku dg panjang rute jalan whoose luas kereta api rata seluruh indonesia pasu kai sumbang bumn buat selesai bayar whoose yg jatuh tempo
negative,solusi layak pikir laksana proyek kalau arti error proyek yg libat bukan orang orang bodoh solusi saat ketidaksanggupan bayar kemudi hari error jadi gak masuk akal jangan rakyat jadi tumbal terus error bijak rakyat sangat derita jangan malah sengsara tiada batas bela rakyat jangan malah beban arti rakyat terus miskin
negative,lagi bkin trasenya kaga mikir okupansinya kalo mau okupansi padet lihat okupansi kantong kantong kai padet semua cover contoh jakarta jogja via purwokerto lewat trase utara terus lalu tengah masuk selatan padahal rute trase padet okupansi gw heran dri awal apa kaga ngitung awal nya kalo beroprasi kantong padet tsb uang usaha mulai sehat pasca beroprasinya layan baru lang ngrmbangin tuh rute jepang aj awal buat rute aj dri tokyo osaka mana memang trase sebut memang kantong okupansinya padet mungkin awal2 rugi planing makanya tinggal nunggu waktu surplus uang usaha
negative,eks mukidi buhut jati
negative,hukum apa yg pantas jokowol
negative,joko w tanggung jawab
negative,klw memang indikasi koropsi tangkap dulu siapa yg koropsi usut dulu baru sita uang koropnya baru bayar jgn uang rakyat oakai situ enak kali yg koropsi enak senang2 sama kel nya kok rakyat yg beban edaan
negative,gampang wok si wiwi suruh bayar pake asset kaya nya gaji tunjang nya gibran potong 80 buat jaga jaga kalo kurang
positive,dterapkan 40 untung 40 pajak 15 over head 5 sukses
negative,tp jk duga indikasi seleweng uang negara korupsi orang2nya tetap hrs proses hukum periksa dong uang negara uang rakyat bkn uang pribadi
neutral,pleciden pleciden
negative,ambisi langit buat pt kai jaman jonan bom era kcic jarang defisit sekarang sakit sakit uang nya
negative,kl benar kata pnyalahgunaan wewenang korupsi sana pakai hasil korupsi buat bayar utang jadi lebih fair inti perintah uji tega supremasi hukum pake uang hasil sita krugian negara hasil curi berani ga hehe
negative,arep misuh py ra misuh py dok kelakuanne mulyo sak geng
negative,jangan mau bayar meentri suruh bayar tuh si jokowi
negative,mulyono sana lbp suruh bayar jangan pakai apbn rakyat susah mending buat sejahtera rakyat yg wajib
negative,bikin susah rakyat aj anjir mendiang utang mul mul rakyat susah jga suruh mul mul ama termul bayar lah
neutral,whoosh klo mau panjang jalur klo cuma sby nanggung bgt harus nya jkt bdg sby banyuwangi baru manfaat
positive,mantap p prabowo biar gaduh
negative,simpul begini cina awalnye benar sudh tau proyek memang rugi balik proyek cina benar incar mata uang dolar kumpul lihat kesepkatan nya hutang dubayar pakai mata uang dolar jadi mega proyek seluruh negara jalan cina kumpul uang dolar point perang dagang cina amerika proyek modal bank cina pakai mata uang cina bayar hutang nya indonesia pakai uang dolar
negative,kpk usut tuntas proyek kereta cepat negara sangat rugi 79 6 trilyun ada proyek kereta cepat
negative,ibarat ken berantas pinjol judol tp aplikasi yg ilegal msh seliwer ken byr hutang tp yg bikin utang msh aman2 seliweranmenyala abang
negative,dpr ga mau gaji naik udah nepalkan aja nyari celah ttp naik
negative,akibat maruk ken puja puji rakyat suruh tanggung jawab anak cucu cicit cecet yg untung siapa
positive,alhamdulillah pak presiden prabowo bawah moga selaras baik bangsa
negative,perintah yg dulu terlalu gengsi an negara asi lain lihat wah lihat modern biar tekor asal sohor
negative,kpk mana apa takut sama jabat tinggi
negative,kurupsi masuk akal segera periksa siapa yg lihat
negative,den kan bagi lembaga ketua luhut bp yng bagi sekongkol mark up kereta cepat
neutral,orang makan nangka baru jabat getah
neutral,rakyat baik nya tani segara kan maju seluruh indonesia moderen kan
negative,perintah yg lama banyak beban perintah baru
negative,wiwi suruh bayar utang
negative,jokowi yg ganti rugi
positive,salam sehat pak jonan pak agus yg tolak lalu pecat gara tolak kreta cepat whos whos sungguh apresiaasi setinggi tinggi waktu kreta lokal jarak jauh sengkarut carut marut ada belio tri pak jonan jadi disiplin tata rapi nyaman aman
negative,ijazah jokowi gmn pak gak lirik pis kasus nya
negative,bayar utang korup si rakyat jerit sulit hidup
neutral,bayar utang usut koropsinya baru adil yo pak mul
negative,pt kai kereta api indonesia woww arti hutang rakyat indonesia dong rawan niih apbn indonesia
positive,terima kasih pak prabowo whoos jakarta surabaya
neutral,benar presiden masa lalu tak punya bangun negri per
negative,panjang masa pinjam yg hutang siapa yg nanggung bayar siapa
neutral,telpon jokowi makanya langsung ngomong
negative,aduhhh ngapain tuh kereta utang alas ngomong teknologi modern j jaman habibie aje udah bikin teknologi modern atas punya iptn pt bikin pesawat
negative,kalau prabowo yg nangung rakyat yg rugi ekonomi susah duit lgi rakyat yg koruptor kereta whoss yg enak
neutral,minta bukan perintah
negative,jokowi luhut ternak yg tanggung jawab jgn semua beban rakyat rakyat udah susah cari ekonomi sambung hidup
negative,beres jgn pake uang rakyat pake uang jkw pki sendiri yg hasil korupsi kpk tkt sama jkw makanya jkw g pernah d periksa duit mana tukang mebel asal kok bng rmh ratus milyar beli pulau duit d truh d goronggorong ini kl milih presiden pki tulen top indonesia
neutral,lanjut terus kesurabaya seperti indonesia jawa luar jawa lupa adil
neutral,monggo silah rawan jokowi beres hutang kereta woosh
negative,gak mungkin ungkap kpk kasus woosh percaya deh nepotisme jokowi lolos gibran jadi wakil presiden depan mata 286jt lebih duduk indonesia aja gak apa apain
negative,hutang whosss rakyat jangan mau bayar biar jokowi sri mulyani luhut airlangga zulkifli hasan suruh bayar orang2 kelompok nya rakus jabat yg rusak anggar rakyat buat bancaan
negative,rugi negara hukum
neutral,omon omon tkut mukidi
negative,kereta cepat jakarta bandung ibarat pergi warung dekat rumah naik mobil ferari pamer mobil ferari sebut hasil hutang
negative,bayar pakai apbn bodoh rakyat teriak2 lama2 kan hilang sendiri
negative,masyarakat bukan masalah khawatir masyarakat sayang duit segitu banyak manfaat signifikan duga tindak korupsi
positive,mantappp
negative,jokowi yg pesta prabowo yg cuci piring miris orang mantan tentara malah jadi budak
negative,utang coook
negative,kata indonesia kaya kok utang masa kecil waktu sd bohong yg kata nya negara kaya
negative,ngutang siapa sih kok enak bener
negative,jokowi tanggung jawab kan punya 11rb triliyun cetek hutang segitu mah
negative,jokowi luhur yg tanggung jawab joli nya
negative,narsum dpr nya kek nya gak paham beberapa tanya reporter nya
positive,udah dihutangin negara fasilitas rakyat kok bingung sendiri rakyat untung jangka panjang untung bukan tiket tranfer teknologi cepat pindah manusia bisnis jadi lancar semua hitung kalau rugi bangun
negative,kpd bpk presiden yth hutang kereta cepat beres panggil proses jabat negara yg libat rampas aset nya buat byr hutang negara hukum mati langsung kirim liang kubur biar bersih koroptor ri
negative,jokowi nyusahin purbaya aja luuu bangkeee
positive,utang se uprit negara indonesia kaya raya masa gak bayar utang se uprit sekali nyita uang koruptor aja 2oo triliun
negative,hidup jokowi hidup jokowi tenang pak jokowi biar rakyat yg menangung hutang negara bukan keluarga
neutral,sungguh luar biasa perintah dulu kini lanjut pak prabowo he he mampu ngga atas mudah mudah atas baik
negative,bangga bangga hutang
negative,pryk sosial versi jk wi utk citra terus d lihat taxe over dr jepang k china mungkin tdk wajar
negative,semua sebab jokowi jokowi usak nkri
negative,hidup korupsi
negative,beres jokowi luhut adil
negative,jokowi luhut komite kcic periksa hrs minta tanggung jawab atas whoosh
negative,kalo joko mas presiden dah pake uang rakyat
negative,juara nomor 2 dunia ijasah palsu buat negara hancur
negative,dunia wae tahu siapa sikowi juara nomor 2 dunia
negative,sikowi seng punya utang
negative,emang negara abal konoha udah ga asing proyek besar utk gagal utk korupsi biar uang yg korupsi lumayan jumbo klu tahun gerogot uang negara ngapain diterusin klu gila yg laku hrs diikutin
negative,jadi tukang cebok aja lgi
neutral,komennya jahat
negative,beli banyak debat buat sendiri bun mampu
negative,pak joko bayar jngan asal ngutang doang lepas tangan selesai jadi presiden rakyat kecil gk nikmat kereta y suruh bayar pake dana apbn kocak emng
negative,saran jangan mau bayar hutang whoosh beban apbn butuh dasar masyarakat indonesia sangat desak wajib penuh kereta cepat sangat butuh 95 masyarakat indonesia
negative,mau mau pa prabo bertanggungjawab hutang proyek konyol berani mau bagaimana pak prabowo teriak teriak teriak hidup jokowi hidup jokowi he he lihat sazah
positive,alhamdulillah berani pak jokowi indonesia milik kereta cepat coba kalo pimpin dulu terlalu banyak hitung gak kereta cepat jalan tol mrt lrt kalo pimpin tdk mau ambil resiko tdk usah bangun apa2 cukup jalan kaki naik sepeda biar untung
negative,danantara negara apbn pakai jokowi kaya korupsi negara bankrupt
negative,dpr dayus mama komisi siasat wooosh
negative,owi sama uhut suruh mbayar uang banyak yg ngerampok wosh rakyat yg suruh bayar
negative,ini ajar buat rakyat indonesia pilih presiden jangan lihat sederhana blusukan latar belakang didik keluarga karakter orang presiden punya ambisi pribadi citra hancur hidup bangsa negara jangan sekali kali pilih presiden ri timbang matang salah pilih derita tahun tahun
negative,jokow jokowi mantan persiden paling malu dunia punya pikir biar tekor asal kesohor
negative,kalau lunas pakai apbn rakyat tindak
negative,ambisius parah usaha kolomrat perintah nya pikir nasib rakyat miskin bawah kereta woos orang 2 kaya jabat 2 enak mohon perintah bijak rakyat miskin sulit ekonomi nya siang mlm mikirkan buat cari makan susah kl kampung jadi buruh kuli babat rumput macul hari pull pagi jam 5 soreh 50 000
negative,siasat jokowi
negative,beres dulu urus si buat bijak pindah whoos jepang china
negative,rakyat gak mau nanggung
positive,betapa berat beban presiden sekarang kerja keras beres semua kacau padahal bukan buat semua masalah bagi cuci semua kotor
negative,mau sampe kapan sih negara jadi negara bodoh bagus tanggung jawab danantara bukan tanggung jawab perintah gagal paham
negative,anggota dewan bilang rakyat indonesia indonesia bagi jawa kasih tahu sama anggota dewan indonesia bukan pulau jawa lihat jln jln d indonesia timur jangan manjilat mati mati
neutral,cara sederhana nya solusi pasti dana talang hmmmm
negative,biar angsur jokowi duwet jokowi banyak jangan pernah sengsara rakyat
positive,nyali yg penting pimpin
neutral,klw sy panggil konsursium jepang utk nutupin semua utang cina lunas jd nyicil jepang dgn bunga yg rendah mmg utk jangka pendek kliatan rugi tp jngka panjang sangat untung
negative,suruh jokowi termulnya yg bayar
neutral,wi wok de tok not onle tok de tok
negative,bengis era jokowi nawarin jepang murah cari mahal jerit rakyat lalu pajak tekan
negative,tenang balik kata pak prabowo lunasin hutang wosh bakal kejut nya
neutral,busyeeertttt
negative,nih gara2 pilih pimpin ri 1 pemprov daerah harus jadi tri dulu kek baru jadi ri 1
negative,ini akibat nya ijazah palsu tadi
negative,salah bijak pimpin lupa buku jadi sejarah ajar ulang
negative,jangan pakai apbn bayar hutang rakyat marah marak demo
negative,bkn jokowi yg salah tp jabat yg jd maling rampok begal uang proyek
neutral,lajut terusss whooooss lanjur basah mandi sekali
negative,klu jabat ga berani ngabil putus tranportasi rayak alangkah sayang nya dulu ga yg berani contoh nya monorel mrt lrt ga berani gara gara amat bilang hitungan2 nya selalu rugi klu bangun ga bakal maju contoh dulu belanda bangun kereta sumatra jawa udah bangun indonesia cuma suruh rawat aja jabat ga yg berani atu
negative,yaa allah negara indonesia kenal kaya raya gemah ripah loh jawi atas karunia hutang bunga bnyak sekali jadi kacau heboh n ribut masalah bayar hutang rakyat susah suguh dg berita informasi ikut bingung n resah
negative,tenang rakyat besok hari hakim yg sungguh yg mulut kunci semua jadi saksi azab owi koroni nya
negative,ambil uang nenek moyang enggkau nando bangun kereta cepat whooosh jakarta surabaya
negative,proyek kereta whoosh sampai2 mantan menteri hubung menhub ignatius jonan gara2 duga kritik soal proyek kereta whoosh luhut binsar panjaitan jelas tau skandal proyek kereta whoosh pihak kpk panggil donk luhut binsar tuk dipriksa
negative,masyarakat indonesia bagi timur tdk bangga dgn kereta cepat yg masalah masyarakat yg domisili dijawa
negative,parlemen kuasa sama jokowi polisi kpk mau ngomong apa contoh bupati pati sudewo sdh mesti jadi sangka kpk bupati punya jokowi masyarakat sedang sandera sama jokowi prabowo kuasa lawan jokowi hutang budi one piece comeback
neutral,prediksi guru gembul bukti
negative,opung kn bilang dah tau barang busuk d teruskn proyek nya yg d tanya apa d balik semua perlu d selidik
negative,masalah whoosh hari hari jawab bahas terus masalah whoosh muncunl sejak tanggal 10 oktober 2025 sibuk apa sih dpr perintah danantara kalo share dong agenda bahas apa hari nya whoosh jadi bahas prioritas
positive,aku warga indonesia lebih rela iklas uang negara buat bayar utang kereta cepat modern uang negara korupsi jabat
negative,kayak gin ternak e jokowerr mikir aja sanjung awal aku gk sejutu kerjasama dgn cina utang jokowi tanggung jawab dong
neutral,benar bukan masalah besar besar besar mampu yg bawah standar
neutral,kalau jokowi jadi pimpin kcic bukan masalah besar ibarat soal uji yg mampu jawab yg tdk jawab
negative,jokowi bohong tutup bohong ingat alloh tidur
negative,meski dukung pak prabowo pa presiden prabowo bayang pikir jokowi percuma jadi presiden
negative,aku aja kesatria proyek tepat awal ambisi besar hitung tepat timbul kan petaka masa depan kalau kasus hukum silah proses orang orang libat mulai pikir solusi bayar tagih hutang mungkin hindar
negative,utang bayar mark up tetap proses mark up proyek rupa jahat luar nalar sengsara bangsa nkri jokowi kau jangan mati dulu bayar dosa dosa dunia akhirat
neutral,cepat selesai malu sama negara ini batu rakyat
negative,jangan jangan bayar utang tiap tahu masuk rekening jokowi kroni
negative,jokowi bayar utang rakyat jelata ga butuh kereta cepat
neutral,lunas syarat alih teknologi kereta cepat alih teknologi j20 plus j10 50 biji
negative,investor china dah kapok sama indonesia
negative,evaluasi semua aspek bika mark up korupsi adil koruptor sita hasil korupsi bayar hutang
neutral,alternatif sahkan dulu uu ampas aset koruptor sita harta lunas hutang
negative,jkw bilang cari untung negara tp pakai dapat negara beri peluang koruptor kaya diri jkw pandai pinterin rakyat rakyat yg bodoh pinter
negative,prabowo pusing abis tagih utang korsel terus utang whoosh selesai semua bijak era owie
positive,indonesia
positive,prabowo
negative,jokowi ngeyel lu sih
negative,kasi si gendut nerima banyak waris utang mulyono
negative,inti saat punya woosh ekonomi morat marit program yg konyol ambisi citra tdk pas dg konsep b to b
neutral,asiiiik bebas si mantan
negative,udah ga ngomong sama laku si jokowi rezim hancur negara perintah
negative,memang repot klo punya pimpin g kualitas bisa numpuk hutang numpuk proyek g jelas manfaat ujung2 nya sengsara rakyat
negative,jokowi samaluhut prisaksa kpk kalau bukti kurupsi jarah
negative,lanjut sih lanjut proyek tp proses audit uang krn timbul polemik jgn terus tp sdh belit koruptor pesta atas derita rakyat jd otak org pintar jgn bilang lanjut ntuk bodoh rakyat buat koruptor cs happy periksa wajib pak bowo sm pak baya biar nyahok koruptor mantan presiden
negative,pak dewan gak ajar rakyat konsumtif brutal kan apa yg bangga milik whoosh lilit hutang banding milik whoosh tak hutang rakyat makmur
negative,saat lawan rakyat gaung bersih skandal2 korupsi negara capai tuju negara bukan cuma mimpi negara
negative,jkarta bndung yg tnggung slruh rkyat konoha mmg koplak konoha abis brmain cuci tngan periksa donk klau skandal korup pecat hukum se berat berat nya jngn budaya kan enak oak presiden
negative,skandal skandal korupsi negara selalu aja rakyat yg tanggung ka rakyat berontak
positive,moga pak purbaya jadi orang yg ikhlas emban amanah allah lalu perintah bapak prabowo seluruh rakyat indonesia dua orang sebut yg percaya mari semua masyarakat indonesia belakang perintah pak prabowo pak purbaya insyaallah
negative,jokowi gila proyek
negative,fernando gimana cara cari solusi citizens sampe jual pulau enak si jokodok dong bikin sial indonesia
negative,msh bnyk koruptor2 yg msh ddk d pmrnthan prabowo tdk serius berantas korupsi cuma omon2 msh percy rakyat pd si prabowo psti msh korupsi jamaah prabowo omong kosong
negative,kcic mulai cicil tahun 2033 cicil lho sibuk sulit uang terus minta restruktur reatruktur model apa yg laku cicil masa grace periode lho terus yg tuju bangun surabaya mmg sepele daerah tdk buat tol utara selatan sulawesi kalimantan
neutral,jkw luhut undang donk tv one minimal via zoom lah
negative,pak menteri purbaya erlangga ros bayar lunas hutang whoossh stop lah kemaruk ngutang malu dengar
negative,whoosh jakarta bandung doang sumatera gak rela apbn bayar utang whoosh
negative,tiap hari isi cuma sibuk ngebahas utang bikin pusing utang tinggal bayar lunas apa susah sih indonesia kaya raya punya tambang emas nikel batubara minyak
negative,segera tuntas masalah korupsi orang yg sangkut masalah korupsi tsb jangan tunda tahu malu masalah riiibaaa lihat sering beri uang kpd masyarakat yg tahu uang tsb darimana asal padahal uang tsb bukan uang pribadi masyaallah
negative,jabat presiden jangan ninggalin utang pak
negative,bikin susah negara rakus haus jabat bikin linglung rampas smua aset mulyono luhut utk beres urang atas bijak knp meski repot dr pd rugi tiap thnnya mending tutup aja
negative,gw pribadi gak pernah tuju klo kcic sekarang panjang jakarta surabaya krn udah telat momentum
negative,jokowi periksa dulu kembali uang hsl setor setor buat nyaur utang
neutral,benar mudah ngelunasin utang whoosh danantara assetnya total 1 t usd rp 17ribu trilyun klo tiap tahun rata2 laba 10 rp 1700 t thn kata 50 utk bayar deviden sisa 50 x1700t 850 t thn utang whoose 120t jadi klopun danantara mau ngelunasin utang whoosh tahun depan sangat mudah
negative,bagai macam masalah sdh yg sangkut pa jokowi tak yg bukti semua takut sama pa jokowi
negative,yg tangung jawab mulyono luhut pak prabowo jgn takut sama tekan dua rakyat pilih pak prabowo lg benar peduli rakyat jgn andal dua rakyat beri sempat buat pak prabowo jadi presiden lihat gimana pimpin indonesia merwka dua benalu perintah pak prabowo
neutral,proses hukum
negative,krn proyek ambisius pribadi pikir dampak belakang rakyat pimpin lanjut mjd korban yg hrs tanggung kl dlm keluarga besar pasak drpd tiang
negative,jokowi udah ga jd presiden ajh nyusahin bahkan sampe mati nyusahin rakyat
neutral,pesta orang nanggung bersih bersih baru datang termul termul mikir lah
negative,woeee respon kalian dpr bertele2 biasa aja udah kenyang kalian dpr
positive,master ekonomi mau kibulin sama boneka2 partai kagak maju terus pak menkeu yakin pilih baik jangan mau kibulin sama pejabat2 suka enak mau tanggung beban buat sendiri
negative,rakyar banyak tak rela bayar whoosh pakai duit pajak rakyat tanggung sendiri
neutral,kunci danantara induk bumn lunas hutang bumn
neutral,kalau konsorsium guna semua bank nasional baik milik perintah maupun milik swasta kan jelas audit
negative,berani bodoh
negative,jelas mark up yg nyata jokowi n co duit disimpen luar negri jokowi aja yg suruh bayar n konco bancaannya
positive,tahu gak elite politik dpr sport jantung gebrak purbaya yg kerja apa ada ungkap benar
negative,kereta bangga jakarta bandung dr awal udah kowar2 neng banget bangga pamer sampe tiap buka youtube isi wuuusss eh bangga sama utang
negative,biar whoosh ambil debt collector
positive,kan salah satu bangkit berani yg positif negara segala kan berani yg positif bukan nekat serampang ingat bangkit bangsa kepentinga masarakat dampak positif jadi simbolsimbol negara masa datang kalau mau maju berani orang yg mau sukses nggk tuju yg berani yg positif nggk hasil indonesia justru ajar terus sini keberanianya indonesia biasa kalau biasa mudah melakukanya hitunghitunganya kalau pasif hasil pasif proyekproyek negri kerja proyek luar negri tender luar kalau biasa kerja proyek sperti kl biasa mudah milik ilmu sini sukur sukur bumn expansi luar negri kerja proyek luar negri tambah dapat indonesia contoh kecil kalau mau beli motor kredit kala nggk niat nggk fill nggk berani nggk hasil walupun punya uang ahirnya lunas kalau ggk lunas arti set salah set awal idologinya yg salah jadi ggk hasil biasa biasa luar biasa ibarat masak telor 1 sama telor 10 waktu sama lebih banyak biyayanya kalau masak telor cuma 1 selisih 100 ingat ingat ingat
neutral,utang memang bayar wajib usut
neutral,kcic segera ipo ikan konsorsium china 11 40 jadi 51 hutang piutang jadi urus bisnjs asset ttp milik perintah 60 thn kemudian mati
negative,jakarta bandung megap megap bayar hutang
positive,pokok masalah selesai jangan ancam daulat negara
negative,suruh jabat mulyono mulyani proyek yg make orang2 duit
positive,rakyat sangat dukung whoosh surabaya
neutral,buat setel aja nih tri baru
negative,info setel buat kasus jokowi gibran off
negative,usut tuntas whoosh mulai awal sdh masalah
negative,kan business kalau rugi negara yg bayar kimak
negative,kacu negara akibat mantan presiden dulu yg sangat korup adil semua yg libat korupsi whoosh
neutral,pak maksud 60 tgg jwb indononesia tlg pak pakai data jelasin nya brapa rp nya 60 jelas
negative,gak usah bangga indonesia pnya kcic biaya hasil utang material bagi china bukan karya bangsa sendiri
negative,maksud rakyat bayar padahal untung lahan korupsi si mulyono si lutung
negative,jokowi luhut kejar pak prabowo
negative,indonesia maju sejahtera pimpin terap ekonomi uud 45 pasal 33
negative,jokowi oan punya bungker geledah lbp audit prshaanya suruh tanggung jwab yg untung rakyat yg buntung malah suruh tqnggung jwab
neutral,hei amat jangan mikir jawa timur tengah lo kalimantan sulawesi sumarera mau
neutral,mirip uya kuya
negative,pusing negara ujung perintah sekarang
negative,ha ha tanggung derita yg proyek kreta cepat jakarta bandung jadi terus surabaya biar sekali rasa kali lipat sakit kira kira siapa yg berani ucap tanggung jawab rakyat tunggu
neutral,hutang bayar pakai uang korupsi yg kata ribu triliun
neutral,s s 2
negative,coba cek cuci uang jokowi anak2nya kolega soal busa mana2 wangi busuk sekali apa aset2nya coba cek bank luar negeri pasti cerah 19 juta kerja kok negara kalah sama keluarga emang hukum pandang bulu
negative,atas nama rakyat tlng bpk jng beban rakyat mksh
negative,anjir nih anggota dewan biasa bangga tekor
negative,dpr biang masalah cobapeeiksa dpr ri
negative,sita harta kaya jokowi banyak korup sita uang buat bayar hutang
negative,sini simpul kpk usut korupsi kelas kakap kpk usut korupsi kelas teri
neutral,baik daya beli masyarakat bahan barang gak imbang ama uang rupiah minim daya beli
negative,ibarat pak rt yg punya utang eh warga yg suruh mbayari
negative,mukidi opung kan terima fee ratus trilyun cina hasil 10 tahun obral proyek tiongkok rampas sita aset mrk pakai bayar whoosh makanya penting usut kasus whoosh nenyeret seluruh pihak libat utama mulyono
negative,bangun sj rel lintas sumatra jawa gak butuh
neutral,janji manngkir proyek selesai harus bayar cicil kalau proyek mangkrak baru lah kpk usut
negative,woosh transportasi massal utk konglomerat investasi sosial fasilitas org2 kaya
negative,jangan bayar aja enak aja tindaktegas oknum2 libat mark up proyek
negative,jgn smpai china minta natuna utara
positive,berapa utang negara cari jln solusi jgan saling salah gituloh mantap pa president
negative,sita harya raup uang wos usah pakai repot kalau mau
neutral,ayo sadar termul waktu termul patungan
neutral,suruh mulyono ternak aja
negative,jangan coba coba kepala negara bapak presiden wenang wenang ambil bijak guna abn selamat proyek sama sekali punya andil penting nasional bapak presiden baik tekan pihak belum ambisi proyek kereta cepat bertanggungjawab jangan sedikit sedikit salah bijak publik korban daerah butuh perhati anggar pada bangun ekonomi sejahtera minta praktik macam henti jadi ajar jabat gaji fasilitas uang rakyat ambil bijak perlu hati hati
negative,rakyat indonesia bangga ada kereta cepat bukan hasil karya anak bangsa dahsyat utang kreta cepat rakyat jadi korban akibat orang presiden jokowi lama 10 tahun rakyat ingin adil jokowi rusak nkri korupsi mana mana kuota haji oertamina
negative,hancur negara berapa banyak uang buang yg manfaat bangun negara
negative,benar benar malu jokowidan kroni paksa hendak koruptor
neutral,utang whoos fi bayar guna uang rakyat penting buat rakyat salm pa purbaya
negative,kalau yg nama bisnis gak yg rela rugi sejak awal emang bakal rugi paksa bangsa senang lihat mewah ladang hutang biar tekor asal kesohor
negative,whoosh kan bisnis jangan bayar dg uang pajak rakyat
negative,polemik ujung jkw cs
negative,ini jahat danantara untung diam bunting minta rakyat yg bayar
negative,si jokowi sama si opung menang banyak gimana nih prabowo rakyat nanggung hutang nya
negative,sy yakin uang jkw opung luhut ga rela uang buat bayar utang rakyat negara bicara asal jeblak tdk bicara untung krn yg bayar rakyat bukan uang pribadi kamu
negative,kpk periksa kereta cepat jelas harga luar biasa harga banding dg kereta cepat luar negeri dpr ri jangan utang negara besar jangan rakyat benar susah hidup nya 80 th merdeka sadar org org kaya mahasiswa rakyat cerdas siap turun demo besar besar dpr ri
negative,kok yg cari solusi jkw opung luhut bukan purbaya cs
positive,berani percuma bayar asean indonesia bukti bahawa jaya walaupun whootang
neutral,purbaya cari panggung koar koar luar shrsny bicara dulu dg presiden
negative,bangsa rakyat bukan jakarta jawa banyak pernah nikmat bangun bahkan miskin
negative,gara gara jokodok jadi ruwet ruwet
negative,jokowi klrga usak bangsa jngn smpi gibran posisi pegang peran penting negeri salah dukung jokowi pdip hrs tggung jawab moral yg usung 2 periode
negative,jangan beban rakyat rakyat sangat derita bohong terus
negative,prabowo jangan enak pake uang rakyat utk bayar whoosh proyek b to b biar yg tdk sekolah ngambil putus serampang tangkap adil kalau whoosh tinggal rakyat tdk yg naik
negative,puluh tahun bumn bumd rugi terus habis apbn korupsi biar 3 tahun ribut lunas whoosh pakai apbn lalu danantara bayar utang bunga perintah
positive,berapa utang rakyat siap bayar kok
negative,suruh si jokowi projo serta rawan nya yg bayar tuh hutang kereta cepat
negative,mulyono uda bebas uda dapet untung banyak modal blusukan ijazah pulsa
neutral,nah kan apa gw bilang utang negara tetap utang negara investor china tau negara indo bukan si termul mulyono mau danantara kek apbn kek yg penting bayar utang woi
negative,investor baru bank baru betul betul hitung layak tidak whoosh lanjut surabaya netizen indonesia gabung kelompok sakit hati yg harap jaba5an komisaris menteri wamen tanya maklum kelompok biasa sok pintar mulut diam kalau da0at jawab
negative,indonesia rampok
positive,purbaya bui jokowi
negative,jokowi luhut yg nikmat hasil rakyat yg suruh bayar hutang
